	id	label	sex	role	nature	importance	position	scene_1	scene_2	scene_3	scene_4	scene_5	scene_6	scene_7	scene_8	scene_9	scene_10	scene_11	scene_12	scene_13	scene_14	scene_15	scene_16	scene_17	scene_18	scene_19	scene_20	scene_21	scene_22	scene_23	scene_24	scene_25	scene_26	scene_27	scene_28	scene_29	scene_30	scene_31	scene_32	scene_33	scene_34	scene_35	scene_36	scene_37	scene_38	scene_39	scene_40	scene_41	scene_42	scene_43	scene_44	scene_45	scene_46	scene_47	scene_48	scene_49	scene_50	scene_51	scene_52	scene_53	scene_54	scene_55	scene_56	scene_57	scene_58	scene_59	scene_60	scene_61	scene_62	scene_63	scene_64	scene_65	scene_66	scene_67	scene_68	scene_69	scene_70	scene_71	scene_72	scene_73	scene_74	scene_75	scene_76	scene_77	scene_78	scene_79	scene_80	scene_81	scene_82	scene_83	scene_84	scene_85	scene_86	scene_87	scene_88	scene_89	first scene	middle scene	last scene
#emil	#emil	Emilita	F	other	person	minor	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011494252873563218	0
#rita	#rita	Rafaelita	F	other	person	minor	12	3	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.05747126436781609	0
#meli	#meli	Melitón	M	other	person	secondary	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	19	5	1	1	4	0	0	0	0	0	0	0	9	0	1	0	0	1	11	4	12	0	1	3	1	1	0	10	21	1	0	11	2	4	0	8	1	7	1	0	0	0	0	0	0	0	0	5	1	1	3	0	0	22	1	0	0	0	0	19	12	0	5	5	1	2	0	2.8620689655172415	2
#gonz	#gonz	Gonzalo	M	lover	person	primary	14	0	0	0	0	0	0	0	0	13	0	3	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	9	0	0	0	0	1	22	2	10	1	0	7	0	0	0	4	0	0	0	0	0	5	0	0	0	0	0	0	0	5	0	6	8	1	0	13	0	0	2	0	0	2	0	0	1	0	0	0	0	1	0	3	0	0	0	1.4942528735632183	0
#nuno	#nuno	Nuño	M	other	person	secondary	15	0	0	0	0	0	0	0	0	0	0	0	6	2	8	1	0	0	1	0	0	0	2	29	0	0	0	0	0	0	4	4	0	0	4	21	16	1	0	0	0	2	0	0	0	0	0	25	1	0	0	5	1	0	0	24	4	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	9	11	0	0	0	0	1	0	0	0	1	0	0	4	0	2.2758620689655173	4
#lain	#lain	Laín	M	other	person	secondary	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3	17	23	0	0	0	0	1	0	0	0	0	0	15	0	0	0	3	0	0	0	8	2	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	0	0	0	1	0	0	0	1	0	0	0	5	0	1.1954022988505748	5
#jaim	#jaim	Jaime	M	other	person	minor	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	1	6	1	0	0	0	0	0	0	0	0	1	0	5	0	4	6	2	0	3	0	0	5	1	1	0	0	0	0	0	0	2	0	0	0	0	0	1	11	1	0	5	1	0	0	0.8620689655172413	0
#antu	#antu	Antúnez	M	other	person	minor	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39080459770114945	0
#rlon	#rlon	Rafaelón	M	other	person	minor	19	1	0	9	1	1	1	0	1	1	0	0	0	0	0	0	3	3	0	1	0	0	0	0	0	4	2	1	3	5	1	0	0	0	0	1	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.4827586206896552	0
#cosm	#cosm	Don Cosme	M	other	person	minor	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	20	3	1	0	0	1	7	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4482758620689655	0
#domi	#domi	Domingo	M	other	person	minor	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	1	0	0	3	1	1	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26436781609195403	0
#illo	#illo	Faelillo	M	other	person	minor	22	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	3	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13793103448275862	0
#rafa	#rafa	Rafael	M	other	person	minor	23	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	2	0	2	5	0	2	1	0	0	1	0	0	0	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3448275862068966	0
#lito	#lito	Faelito	M	other	person	minor	24	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	4	2	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19540229885057472	0
#reve	#reve	Revenga	M	other	person	minor	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08045977011494253	0
#pepi	#pepi	Pepito	M	other	person	minor	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08045977011494253	0
